DN	Draw Date	L1	L2	L3	L4	L5	L6
1	6-Jan-07	04	15	19	22	30	39
2	9-Jan-07	11	14	16	29	39	41
3	13-Jan-07	11	17	19	29	32	40
4	16-Jan-07	01	02	03	05	23	37
5	20-Jan-07	03	13	20	25	29	37
6	23-Jan-07	04	06	21	26	27	28
7	27-Jan-07	06	09	10	12	23	29
8	30-Jan-07	02	03	13	14	26	37
9	3-Feb-07	04	21	24	27	30	42
10	6-Feb-07	03	06	13	31	36	42
11	10-Feb-07	12	29	33	37	38	40
12	13-Feb-07	06	18	20	27	30	42
13	17-Feb-07	02	04	18	27	38	42
14	20-Feb-07	17	23	27	29	30	35
15	24-Feb-07	02	07	22	25	26	36
16	27-Feb-07	01	17	27	29	37	39
17	3-Mar-07	02	15	20	25	35	40
18	6-Mar-07	08	12	13	24	26	34
19	10-Mar-07	08	16	26	27	28	31
20	13-Mar-07	17	18	23	36	38	39
21	20-Mar-07	03	18	20	36	38	41
22	24-Mar-07	20	24	27	28	38	42
23	27-Mar-07	15	20	21	23	30	36
24	31-Mar-07	01	19	26	31	33	41
25	10-Apr-07	01	16	21	29	31	34
26	14-Apr-07	12	13	23	26	29	37
27	17-Apr-07	12	13	16	20	26	40
28	21-Apr-07	04	11	12	30	31	40
29	24-Apr-07	16	18	19	25	31	36
30	1-May-07	08	11	22	28	30	40
31	5-May-07	06	11	12	16	21	26
32	8-May-07	08	12	13	19	20	21
33	12-May-07	02	03	24	27	38	41
34	15-May-07	03	06	13	14	38	41
35	19-May-07	08	10	18	30	32	34
36	22-May-07	04	14	18	23	34	39
37	26-May-07	01	07	12	13	40	42
38	29-May-07	09	11	12	14	18	22
39	2-Jun-07	12	19	37	39	40	41
40	5-Jun-07	23	28	32	33	34	39
41	9-Jun-07	11	13	14	15	24	42
42	12-Jun-07	02	07	19	25	38	41
43	16-Jun-07	09	10	12	17	21	37
44	19-Jun-07	07	25	31	34	35	40
45	23-Jun-07	01	03	11	13	14	27
46	26-Jun-07	11	16	26	27	32	33
47	30-Jun-07	05	15	19	21	28	41
48	3-Jul-07	01	15	22	27	37	41
49	7-Jul-07	04	06	11	19	31	39
50	10-Jul-07	13	16	17	19	29	30
51	14-Jul-07	16	20	24	28	30	33
52	17-Jul-07	01	07	10	16	19	31
53	24-Jul-07	04	13	15	22	28	42
54	28-Jul-07	02	08	10	17	34	42
55	31-Jul-07	01	02	11	26	29	40
56	4-Aug-07	02	05	14	26	37	42
57	7-Aug-07	05	19	20	31	35	39
58	11-Aug-07	10	12	14	21	26	30
59	14-Aug-07	06	09	19	27	37	40
60	18-Aug-07	05	08	16	31	36	42
61	21-Aug-07	01	03	12	18	24	31
62	25-Aug-07	04	16	22	26	35	37
63	28-Aug-07	01	04	11	32	40	42
64	1-Sep-07	03	06	10	16	26	27
65	4-Sep-07	06	22	32	36	37	39
66	8-Sep-07	07	17	22	27	31	39
67	11-Sep-07	04	13	17	26	34	35
68	15-Sep-07	15	17	21	22	23	24
69	18-Sep-07	13	17	18	22	25	35
70	22-Sep-07	01	05	21	22	27	29
71	25-Sep-07	06	19	28	33	34	42
72	29-Sep-07	06	09	11	21	27	35
73	6-Oct-07	03	06	20	25	27	41
74	9-Oct-07	04	22	31	34	39	40
75	13-Oct-07	08	09	27	33	36	41
76	16-Oct-07	13	21	26	32	39	41
77	20-Oct-07	14	30	34	38	40	41
78	23-Oct-07	02	11	23	36	38	42
79	27-Oct-07	03	11	28	30	35	37
80	30-Oct-07	06	12	14	21	36	37
81	3-Nov-07	06	08	16	19	25	38
82	6-Nov-07	07	30	31	35	36	38
83	10-Nov-07	10	12	13	19	29	38
84	13-Nov-07	18	24	25	29	37	40
85	17-Nov-07	12	16	26	27	29	42
86	20-Nov-07	06	15	20	21	40	41
87	24-Nov-07	06	11	12	19	40	41
88	27-Nov-07	08	16	17	24	36	40
89	1-Dec-07	14	22	23	26	31	41
90	4-Dec-07	10	14	19	20	23	35
91	8-Dec-07	05	12	16	21	29	34
92	11-Dec-07	08	16	22	24	34	41
93	15-Dec-07	12	13	14	25	30	34
94	18-Dec-07	02	05	13	20	27	36
95	22-Dec-07	03	09	18	25	33	38
96	29-Dec-07	08	19	27	31	34	39
97	8-Jan-08	04	06	15	21	25	29
98	12-Jan-08	05	14	15	17	28	34
99	15-Jan-08	14	17	21	22	40	42
100	19-Jan-08	15	16	19	20	31	40
101	22-Jan-08	09	13	15	30	33	39
102	26-Jan-08	01	11	21	22	23	29
103	29-Jan-08	06	08	10	31	41	42
104	2-Feb-08	09	21	23	24	26	40
105	5-Feb-08	02	06	16	27	32	42
106	9-Feb-08	03	05	14	25	36	41
107	12-Feb-08	04	07	16	24	38	42
108	16-Feb-08	03	04	07	08	32	36
109	19-Feb-08	04	10	16	19	24	30
110	23-Feb-08	02	08	21	30	33	34
111	26-Feb-08	07	11	16	19	33	38
112	1-Mar-08	01	07	11	13	24	38
113	4-Mar-08	01	15	18	31	35	38
114	8-Mar-08	06	10	11	24	33	42
115	11-Mar-08	05	17	28	35	39	42
116	15-Mar-08	03	11	13	17	24	31
117	18-Mar-08	06	14	20	22	27	29
118	25-Mar-08	03	07	20	22	35	42
119	29-Mar-08	13	14	20	27	30	34
120	1-Apr-08	01	10	19	21	22	24
121	5-Apr-08	19	21	29	36	37	42
122	8-Apr-08	02	25	30	35	36	42
123	12-Apr-08	12	22	23	26	36	37
124	15-Apr-08	04	06	25	35	38	42
125	19-Apr-08	01	16	28	37	41	42
126	22-Apr-08	09	15	18	23	28	40
127	26-Apr-08	06	09	16	32	34	37
128	29-Apr-08	07	09	18	28	35	39
129	3-May-08	01	02	19	23	34	41
130	6-May-08	01	06	11	31	35	42
131	10-May-08	03	12	17	26	32	42
132	13-May-08	22	26	27	31	36	39
133	17-May-08	03	08	11	19	32	35
134	24-May-08	09	10	17	21	22	26
135	27-May-08	08	20	23	27	38	40
136	31-May-08	03	11	12	18	32	37
137	7-Jun-08	10	17	20	35	36	39
138	10-Jun-08	04	14	33	39	40	42
139	14-Jun-08	03	07	26	31	33	41
140	17-Jun-08	08	15	18	21	37	41
141	21-Jun-08	08	13	15	19	26	36
142	24-Jun-08	04	08	11	14	21	23
143	28-Jun-08	04	07	11	21	29	34
144	1-Jul-08	04	10	34	35	37	38
145	5-Jul-08	07	14	18	21	25	28
146	8-Jul-08	01	03	05	27	33	42
147	12-Jul-08	03	07	10	20	23	38
148	15-Jul-08	07	11	15	24	25	32
149	19-Jul-08	03	14	19	28	38	39
150	22-Jul-08	13	16	17	22	31	33
151	26-Jul-08	05	06	19	22	39	42
152	29-Jul-08	05	06	12	13	24	25
153	2-Aug-08	13	15	20	28	33	42
154	5-Aug-08	02	07	14	19	24	34
155	9-Aug-08	01	19	20	25	30	34
156	12-Aug-08	02	06	07	09	20	24
157	16-Aug-08	05	07	08	21	22	29
158	19-Aug-08	01	03	26	33	39	41
159	23-Aug-08	05	12	15	21	29	39
160	26-Aug-08	05	11	13	15	24	42
161	30-Aug-08	03	06	19	25	28	35
162	2-Sep-08	01	22	23	34	37	38
163	6-Sep-08	02	14	18	26	27	29
164	9-Sep-08	04	08	09	13	21	27
165	13-Sep-08	17	20	26	30	33	37
166	16-Sep-08	02	12	13	26	36	37
167	20-Sep-08	01	03	04	09	13	34
168	23-Sep-08	17	19	20	30	39	41
169	27-Sep-08	02	03	08	19	28	40
170	30-Sep-08	13	16	22	29	32	39
171	4-Oct-08	01	02	34	38	40	41
172	7-Oct-08	01	03	08	15	27	40
173	11-Oct-08	04	07	31	32	36	40
174	14-Oct-08	01	05	19	32	35	40
175	18-Oct-08	07	11	16	30	31	41
176	21-Oct-08	02	05	16	20	21	23
177	25-Oct-08	06	12	17	23	26	30
178	28-Oct-08	05	10	16	28	38	41
179	1-Nov-08	06	13	15	25	36	41
180	4-Nov-08	01	02	05	15	31	33
181	8-Nov-08	07	14	20	21	26	42
182	11-Nov-08	20	23	36	38	39	40
183	15-Nov-08	16	22	23	25	33	41
184	18-Nov-08	03	07	29	32	33	39
185	22-Nov-08	04	10	11	28	31	36
186	25-Nov-08	08	09	14	23	29	30
187	29-Nov-08	06	12	18	25	26	34
188	2-Dec-08	02	05	13	17	31	38
189	6-Dec-08	04	12	18	19	40	41
190	9-Dec-08	20	24	26	31	37	41
191	13-Dec-08	09	11	17	20	31	41
